id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
820862,2010-12-17,sexta,19:30:00,rj,101,321,niteroi,outras,colisao lateral,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
820872,2010-12-17,sexta,17:15:00,rj,101,323,niteroi,nao guardar distancia de seguranca,colisao lateral,sem vitimas,pleno dia,decrescente,sol,dupla,reta,urbano,2010,3,0,0,0,3,0,0,2,,,,,
820987,2010-12-17,sexta,21:50:00,rj,101,323,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821000,2010-12-17,sexta,22:10:00,rj,101,322,niteroi,outras,colisao lateral,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821009,2010-12-17,sexta,22:45:00,rj,101,327,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
821018,2010-12-17,sexta,23:10:00,rj,101,321,niteroi,outras,colisao lateral,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821080,2010-12-17,sexta,23:10:00,rj,101,321,niteroi,nao guardar distancia de seguranca,colisao traseira,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,7,0,0,0,7,0,0,2,,,,,
821102,2010-12-18,sabado,03:30:00,rj,101,326,niteroi,outras,colisao lateral,sem vitimas,plena noite,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821260,2010-12-18,sabado,10:30:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821326,2010-12-18,sabado,13:00:00,rj,101,323,niteroi,outras,colisao traseira,sem vitimas,pleno dia,crescente,sol,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821443,2010-12-19,domingo,02:10:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,plena noite,decrescente,nublado,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821716,2010-12-19,domingo,13:05:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
821727,2010-12-19,domingo,12:50:00,rj,101,321,niteroi,outras,colisao lateral,com vitimas feridas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,2,0,1,0,0,1,1,2,,,,,
821866,2010-12-18,sabado,00:20:00,rj,101,322,niteroi,outras,colisao com objeto fixo,sem vitimas,plena noite,decrescente,ceu claro,dupla,curva,urbano,2010,1,0,0,0,1,0,0,1,,,,,
